ETIQUETA,NUMERO ANTERIOR,TIPO,DESCRIPCIÓN,MODELO,SERIE
248,COM007180,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",OPTIPLEX 390,J0SPSR1
257,COM007181,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",OPTIPLEX 390,J0TKSR1
260,COM007197,EQUIPO DE CÓMPUTO,TECLADO CN - 0KHCC7-71616-160-061F-A00  Y MOUSE,OPTIPLEX 390,J0SMSR1
269,COM007199,EQUIPO DE CÓMPUTO,"INCLUYE INCLUYE MOUSE, TECLADO Y MONITOR CN-0T348F-71616-9B8-OR7N-A00",VOSTRO,GBB2SL1
287,COM007235,IMPRESORA/ MULTIFUNCIONAL,S/N,2055DN,CNB9P42933
289,COM007236,SWITCH,24 PUERTOS,WS-C2960-24PC-L,F111430Z1UU
298,MAQ006513,ARCOS DE LECTURA,"FACT 000373 ARCO DE LECTURA RFID/LPR INCLUYE: LICENCIA PERMANENTE PARA INTEGRACION AL SISTEMA DE MONITOREO DE PORTERIAS ACTUAL, SERVICIO DE INSTALACION EN ARCO FIJO PP 5651",S/N,S/N
304,MOB026834,ARCO ELECTRÓNICO/ DETECTOR DE METALES,DETECTOR DE METALES,S/N,S/N
311,COM015334,ARCO LECTOR RFID,"EQUIPAMIENTO INCLUYE DOS SW DEL SISTEMA DE MONITOREO DE PORTERIAS, 4 ANTENAS.",S/N,S/N
313,COM007241,EQUIPO DE CÓMPUTO,TECLADO CN OKHCC7 71616 160 019S A00. Y MOUSE,OPTIPLEX 390,J0SKSR1
320,COM007244,MONITOR/ PANTALLA LCD,"PANTALLA PLANA 19""",HDMI- 1080P,RKB103200009
324,COM007245,MONITOR/ PANTALLA LCD,"PANTALLA PLANA 19""",HDMI- 1080P,RKB103200334
331,COM007246,MONITOR/ PANTALLA LCD,"PANTALLA PLANA 19""",HDMI- 1080P,RKB103200407
337,COM007265,EQUIPO DE CÓMPUTO,TECLADO CN OT348F 716169B8 OR70 Y MOUSE,VOSTRO,GB82SL1
341,COM015335,ARCO LECTOR RFID,"EQUIPAMIENTO INCLUYE DOS SW DEL SISTEMA DE MONITOREO DE PORTERIAS, 4 ANTENAS.",S/N,S/N
348,COM007273,CÁMARA,METAL Y PLÁSTICO NEGRO,DSC/W350/BC E33,S/N
353,COM007275,EQUIPO DE CÓMPUTO,TECLADO CN OKHCC7 71616 B Y MOUSE,OPTIPLEX 390,J0TMSR1
359,MAQ005933,ARCOS DE LECTURA,"FACT 000346 ARCO MOVIL RFID7LPR INCLUYE MALETIN DE USO RUDO CON EL SIGUIENTE EQUIPAMIENTO. SOFTWARE PARA MONITOREO, USO Y SINCRONIZACION DE MULTIPLES FUENTES DE DATOS,             PP 5651",S/N,S/N
364,COM007280,CÁMARA WEB,RESOLUCIÓN VIDEO 640X480,S/N,S/N
368,COM007281,EQUIPO DE CÓMPUTO,S/N,S/N,JDPTZL1
377,COM007282,IMPRESORA/ MULTIFUNCIONAL,DE GRÁFICOS,POCKET JET3,21217513
380,MAQ005934,ARCOS DE LECTURA,"FACT 000346 ARCO MOVIL RFID7LPR INCLUYE MALETIN DE USO RUDO CON EL SIGUIENTE EQUIPAMIENTO. SOFTWARE PARA MONITOREO, USO Y SINCRONIZACION DE MULTIPLES FUENTES DE DATOS,             PP 5651",S/N,S/N
386,MAQ005638,ARCOS DE LECTURA,"DE 2 CARRILES INCLUYE 1 EQUIPO DE LECTURA RFID Y LPR POR CADA CARRIL SUMINISTRO INSTALACION Y CONFIGURACION DE ARCOS DE LECTURA, SOFTWARE (463)",S/N,S/S
389,COM007293,EQUIPO DE CÓMPUTO,PARA CONCENTRAR LAS SEÑALES A LA VEZ,PROBOOK 6445B,CND0181VVM
400,MAQ005639,ARCOS DE LECTURA,"DE 2 CARRILES INCLUYE 1 EQUIPO DE LECTURA RFID Y LPR POR CADA CARRIL SUMINISTRO INSTALACION Y CONFIGURACION DE ARCOS DE LECTURA, SOFTWARE (463)",S/N,S/S
404,COM007297,CÁMARA WEB,RESOLUCIÓN VIDEO 640X480,S/N,S/N
410,COM007298,IMPRESORA/ MULTIFUNCIONAL,S/N,S/N,0212 13213
425,COM007301,EQUIPO DE CÓMPUTO,PARA APLICATIVOS DE MONITOREO DE CÁMARAS,PROBOOK 6445B,CND0181W2F
430,COM007305,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",DC7900,MXJ92502W
444,COM007311,EQUIPO DE CÓMPUTO,S/N,PRECISION M6600,C51NMQ1
446,COM007312,EQUIPO DE CÓMPUTO,COLOR CAFÉ,PRECISION,26427900745
450,COM007314,EQUIPO DE CÓMPUTO,PLÁSTICO NEGRO,S/N,9DPTZLI
453,MAQ005836,ARCOS DE LECTURA,"DE 2 CARRILES EN C/UNO (CONTEMPLA 1 EQUIPO DE LECTURA RFID Y UN LPR X CADA CARRIL) SUMINISTRO, INST Y CONFIG. DE ARCOS Y EQUIPO, INTEGRACION C/PLATAFORMA ACTUAL ADMINISTRACION Y MONITOREO (000329)",RFID Y LPR,S/S
460,COM007319,CÁMARA WEB,RESOLUCIÓN VIDEO 640X480,S/N,S/N
461,COM007320,IMPRESORA/ MULTIFUNCIONAL,PLÁSTICO COLOR NEGRA CON DOS CABLES UNO CONECTA A LA CORRIENTE Y OTRO A LA COMPUTADORA,POCKET JET3,21217525
467,COM007321,EQUIPO DE CÓMPUTO,TECLADO CNOT348F716169B8OR7O Y MOUSE,VOSTRO 430,GB92SL1
469,MAQ005837,ARCOS DE LECTURA,"DE 2 CARRILES EN C/UNO (CONTEMPLA 1 EQUIPO DE LECTURA RFID Y UN LPR X CADA CARRIL) SUMINISTRO, INST Y CONFIG. DE ARCOS Y EQUIPO, INTEGRACION C/PLATAFORMA ACTUAL ADMINISTRACION Y MONITOREO (000329)",RFID Y LPR,S/S
482,COM007330,IMPRESORA/ MULTIFUNCIONAL,S/N,2055DN,CNB9P42945
487,COM007331,SERVIDOR,S/N,PROLIANT DL380 G7,1.68E+11
490,COM007332,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",PAVILION,CNH7461072
498,COM007334,EQUIPO DE CÓMPUTO,S/N,S/N,1DPTZL1
504,COM007335,EQUIPO DE CÓMPUTO,S/N,S/N,7LPTZL1
507,COM007336,CÁMARA WEB,RESOLUCIÓN VIDEO 640X480,S/N,S/N
509,LAB000670,BAÑO MARIA,ESTRUCTURA METÁLICA CON CUERPO INTERIOR DE ACERO INOXIDABLE. (FATCURA B 7225),LTTR-200,S/N
513,MOB014751,CAMA,INDIVIDUAL CON COLCHÓN,S/N,S/N
520,COM007340,IMPRESORA/ MULTIFUNCIONAL,S/N,S/N,41246704
523,COM007342,IMPRESORA/ MULTIFUNCIONAL,S/N,S/N,21212893
528,MOB014752,CAMA,INDIVIDUAL CON COLCHÓN,S/N,S/N
531,COM007346,CÁMARA WEB,RESOLUCIÓN VIDEO 640X480,S/N,S/N
535,COM007347,IMPRESORA/ MULTIFUNCIONAL,S/N,S/N,21217512
538,COM007348,IMPRESORA/ MULTIFUNCIONAL,IMPRESORA  DE PLÁSTICO COLOR NEGRO Y GRIS HP,LASER JET P3015,VNBC99Q0DX
542,COM007349,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR HP ",720T,MJ0BJ32X
546,COM007350,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR ",DX2450,MXL010131R
551,COM007354,EQUIPO DE CÓMPUTO,"METAL PLÁSTICO COLOR CAFÉ DE 14""",C52JMQ1,26427994057
559,COM007374,EQUIPO DE CÓMPUTO,TECLADO L94220055 MOUSE,DC7900,MXJ92806QZ
567,COM007378,EQUIPO DE CÓMPUTO,TECLADO CNOT34F716169B8DQOKADO Y MOUSE,VOSTRO 430,GB9OSL1
571,COM007380,CÁMARA,CYBERTSHOT,W350,8372373
575,COM007385,EQUIPO DE CÓMPUTO,TECLADO CNOKHCC7 71616 160 061B A0 Y MOUSE,OPTIPLEX 390,J0SNSR1
579,COM007397,SWITCH,S/N,3560,CAT1051RNBK
583,COM007401,SWITCH,24 PUERTOS,J9019B,E839356CF740-32
587,MOB014753,CAMA,INDIVIDUAL CON COLCHÓN,S/N,S/N
591,COM007403,CÁMARA WEB,RESOLUCIÓN VIDEO 640X480,S/N,S/N
599,COM007405,IMPRESORA/ MULTIFUNCIONAL,S/N,POCKET JET3,41242736
607,COM007417,SERVIDOR,TECLADO B93CB0LVBTMGD1 Y MOUSE,PROLIANT ML350G5,ILOMXQ81400MR
611,MOB014754,CAMA,INDIVIDUAL CON COLCHÓN,S/N,S/N
619,COM007428,EQUIPO DE CÓMPUTO,TECLADO BAUHR0YWB0E0OE Y MOUSE,Z210 WORKSTATION,2UA1230Q7C
631,COM007434,NO BREAK/ REGULADOR/ ACONDICIONADOR ENERGÍA/ FIREWALLS,S/N,BACK UPS MRS 900,3B0950X38330
635,COM007437,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",Z210 WORKSTATION,2UA1230Q7N
639,COM007439,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR BAUHR01VBOE0P7",WORKSTATION,2UA1230Q7Q
643,COM007445,SERVIDOR,SERVIDOR PROLIANT ML110 G6,PROLIANT ML110 G6,MX201800MV
646,COM007470,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",Z210,2UA1230Q7G
649,COM007471,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",Z210,2UA1230Q7H
653,COM008702,ROUTER,S/N,CISCO 2500,251145992
658,COM008703,SWITCH,S/N,3560,FD01250X0VN
662,COM008704,SWITCH,S/N,3560,CAT1027ZHXE
665,COM008707,SERVIDOR,S/N,PROLIANT ML110 G6,MX2015004W
669,COM008710,SWITCH,S/N,3750,FDO1406X0ZZ
673,COM008711,NO BREAK/ REGULADOR/ ACONDICIONADOR ENERGÍA/ FIREWALLS,CONSTA DE 12 MODULOS DE BATERIAS,GALAXY 3500,G35TF30KB4F
678,COM008712,CÁMARA,S/N,IP FIXED DOME,0P140939208925
681,COM008717,SWITCH,8 PUERTOS,SG 200 08P,PSJ161103Q5
691,MOB014755,CAMA,INDIVIDUAL CON COLCHÓN,S/N,S/N
695,COM008741,ROUTER,S/N,CISCO 2500,S251173517
699,COM008742,ROUTER,S/N,CISCO 2500,S251081786
702,MOB014756,CAMA,INDIVIDUAL CON COLCHÓN,S/N,S/N
706,MOB014757,CAMA,INDIVIDUAL CON COLCHÓN,S/N,S/N
710,COM008762,SWITCH,12 PUERTOS,2950,FHK0619Y188
715,COM008772,SWITCH,DE 28 PUERTOS,SG300,DNI162403RP
719,COM008780,NO BREAK/ REGULADOR/ ACONDICIONADOR ENERGÍA/ FIREWALLS,"CAJA METALICA GRIS CON TAPA PLASTICA NEGRA ISO838006730,ISO846001566,ISO846001561",XFMR,S/N
723,COM008782,DISCO DURO,EXTERNO USO RUDO,S/N,S/N
731,COM009501,SWITCH,8 PUERTOS,1538,FCB3350800
734,COM009540,EQUIPO DE CÓMPUTO,CON TECLADO CN0DJ375716168780Q66 Y MOUSE,OPTIPLEX 755,B00ZL J1
743,COM009939,NO BREAK/ REGULADOR/ ACONDICIONADOR ENERGÍA/ FIREWALLS,7 CONTACTOS,BACK UPS MRS 900,S/N
747,MOB014805,CAMA,MATRIMONIAL CON COLCHÓN,S/N,S/N
753,COM009951,SOFTWARE,SOFTWARE VERSION 6,VERSION 6,0143522338340
757,COM009952,SOFTWARE,SOFTWARE VERSION 6,VERSION 6,0143522280151
763,COM009953,ASPIRADORA,PARA PC,UB1101,S/N
770,COM009961,EQUIPO DE CÓMPUTO,MINILAPTOP DE 10.1,1020,VD433LA#ABM
778,COM009971,SERVIDOR,INCLUYE TECLADO Y MOUSE,PROLIANT ML350G5,MXQ00703DH
782,COM009972,EQUIPO DE CÓMPUTO,MINILAPTOP DE 10.1,1020,VD433LA#ABM
786,COM021413,CATALYST,2900 28P POE. (FACTURA B 594),C2960X24PSL,FCW210881WE
797,COM010000,ROUTER,S/N,2811,FTX1538ALR0
804,MOB026586,ESCRITORIO,COLOR CAOBA CAJONERA EN BUEN ESTADO,S/N,S/N
821,MOB026592,ESCRITORIO,COLOR CAOBA CAJONERA EN BUEN ESTADO,S/N,S/N
825,MOB026593,ESCRITORIO,COLOR CAOBA CAJONERA EN BUEN ESTADO,S/N,S/N
841,MOB026606,ARCHIVERO,4 GAVETAS,S/N,S/N
861,LAB000665,CENTRIFUGADORA,"ELECTROMAGNÉTICA, LIBRE DE MANTENIMIENTO (AK8844)",S/N,S/N
863,MOB014515,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,PROFESIONAL DE 3000 WATTS PMPO CON CROSSOVER Y AMPLIFICADOR,BAF.1280,S/N
869,MOB014516,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,PROFESIONAL DE 3000 WATTS PMPO CON CROSSOVER Y AMPLIFICADOR,BAF.1280,S/N
877,MOB014517,LIBRERO,"R.M.10620. 2 ENTREPAÑOS, 2 PUERTAS,MED 1.00X1.50X2.00.",S/N,S/N
881,MOB014521,ENGARGOLADORA,METALICA,GBC 500,S/N
897,MOB014524,CÁMARA,"7.2 MEGAPIXELES, PANTALLA LCD DE 2.4"", MEMORIA INTERNA DE 22MB",DSC-S730,302183
902,MOB014525,RETROPROYECTOR/ CAÑON/ PROYECTOR,2000 LUMENES VGA,ES7,7000423917S
907,MOB014526,RETROPROYECTOR/ CAÑON/ PROYECTOR,S/N,EX130,7002262 950 S
912,MOB014542,CÁMARA,"7.2 MEGAPIXELES, PANTALLA LCD DE 2.4"", MEMORIA INTERNA DE 22MB",DSC-S730,S/N
917,MOB014625,MESA,SALA DE JUNTAS  ( FIDEICOMISO),S/N,S/N
922,MOB014635,CONJUNTO/MODULO,CON CAJONERA DE DOS CAJONES,2017304NL,S/N
926,MOB014636,EQUIPO DE CÓMPUTO,"COREDUO A 2.2, 2 GB, 160GB",6710B,S/N
930,MOB014640,ESCRITORIO,R.M. 9650 CON 2 CAJONES,S/N,S/N
934,MOB014641,ARCHIVERO,"RM 9647 VERTICAL, 3 CAJONES NEGRO/CAFE.(FIDEICOMISO)",S/N,S/N
938,MOB014656,ARCHIVERO,R.M. 07351 CON 3 CAJONES Y 1 CERRADURA,S/N,S/N
941,MOB014657,ARCHIVERO,"RM 7161.VERTICAL, 3 CAJONES NEGRO/CAFE.( FIDEICOMISO)",S/N,S/N
945,MOB014706,ENGARGOLADORA,FACT 20627 ENGARGOLADORA GRIS CLARO,IBI MASTER 500,UJ04035P
949,MOB014734,CONJUNTO/MODULO,MADERA LAMINADA COLOR CHERRY,S/N,S/N
952,MOB014735,SILLÓN/ LOVE SEAT,"EJECUTIVO, CON RODAJAS, RESPALDO ALTO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",RE-1151,S/N
956,MOB014738,ESCRITORIO,COLOR CAOBA,S/N,S/N
960,MOB014739,CAJONERA,CON DOS ESPACIOS,S/N,S/N
965,MOB014740,ARCHIVERO,4 GAVETAS,S/N,S/N
968,MOB014741,LIBRERO,CON PUERTAS COMPLETAS,S/N,S/N
973,MOB014744,ENGARGOLADORA,S/N,S/N,UF06756H
978,MOB014747,LIBRERO,CON PUERTAS COMPLETAS,S/N,S/N
980,MOB014748,ESCRITORIO,COLOR CAOBA CAJONERA EN BUEN ESTADO,S/N,S/N
985,LAB000666,CENTRIFUGADORA,"ELECTROMAGNÉTICA, LIBRE DE MANTENIMIENTO (AK8844)",S/N,S/N
1001,COM018103,CERRADURA BIOMETRÍCA,CERRADURA BIOMÉTRICA LECTOR DE HUELLAS DACTILARES FACT. 776,SIN MODELO EN FACTURA,2.07E+15
1010,COM021415,CISCO POE,SF302-08P. (FACTURA B 594),SF302-08P,PSZ21161DYB
1013,MOB014774,REFRIGERADOR,S/N,S/N,S/N
1016,MOB014776,COMEDOR/ ANTECOMEDOR,CON 8 SILLAS,S/N,S/N
1020,MOB014777,COMEDOR/ ANTECOMEDOR,CON 8 SILLAS,S/N,S/N
1022,COM021416,CISCO POE,SF302-08P. (FACTURA B 594),SF302-08P,PSZ21161DYH
1025,COM021417,CISCO POE,SF302-08P. (FACTURA B 594),SF302-08P,PSZ21161DXZ
1028,COM021418,CISCO POE,SF302-08P. (FACTURA B 594),SF302-08P,PSZ21161DYE
1031,MOB014781,ESCALADORA ELÍPTICA,S/N,EXC 986,S/N
1034,MOB014782,ARMARIO,S/N,S/N,S/N
1037,MOB014783,LIBRERO,180,MILENIUM,S/N
1042,MOB014792,TELEFONOS,INCLUYE SERVICIO DE RADIO ILIMITADO NACIONALES E INTERNACIONALES,100 CDI,S/N
1044,MOB014795,ARMARIO,S/N,S/N,S/N
1048,MOB014802,ARCHIVERO,VERTIVAL,4 GAVETAS,S/N
1052,COM021419,CISCO POE,SF302-08P. (FACTURA B 594) DE 8 PUERTOS ,SF302-08P,PSZ21161DYL
1056,MOB014808,ESCRITORIO,COLOR CAOBA CAJONERA EN BUEN ESTADO,S/N,S/N
1060,MOB014811,LIBRERO,CON PUERTAS COMPLETAS,S/N,S/N
1065,MOB014816,SILLÓN/ LOVE SEAT,"EJECUTIVO, CON RODAJAS, RESPALDO ALTO, ELEVACION AUTOMÁTICA Y DESCANSABRAZOS",RE-1150,S/N
1069,MOB014821,CONJUNTO/MODULO,CHERRY,S/N,S/N
1073,MOB014826,SILLÓN/ LOVE SEAT,"EJECUTIVO, CON RODAJAS, RESPALDO ALTO, ELEVACION AUTOMATICA Y DESCANSABRAZOS",S/N,S/N
1077,MOB014981,SILLÓN/ LOVE SEAT,"EJECUTIVO, CON RODAJAS, RESPALDO ALTO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",S/N,S/N
1081,MOB026449,SILLÓN/ LOVE SEAT,"EJECUTIVO, CON RODAJAS, RESPALDO ALTO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",S/N,S/N
1085,MOB026574,SILLÓN/ LOVE SEAT,"EJECUTIVO, CON RODAJAS, RESPALDO ALTO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",RE-1151,S/N
1088,MOB026581,ENFRIADOR/CALENTADOR,ENFRIADOR Y CALENTADOR DE AGUA,S/N,S/N
1092,MOB026608,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,PORTÁTIL,SOUND VOICE 1,AUTO 60/50HZ
1096,MOB026654,RELOJ CHECADOR/ CONTROL BIOMÉTRICO/ TERMINAL DE HUELLA,S/N,S/N,S/N
1099,MOB026682,CONJUNTO/MODULO,ESTACIÓN ERGONÓMICA DE 1.20X1.20 M,FUSSION,S/N
1104,MOB026683,SILLÓN/ LOVE SEAT,"EJECUTIVO, CON RODAJAS, RESPALDO ALTO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",RP-4501,S/N
1107,MOB026685,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,"CON SUPRESOR DE RUIDO AL 85% PERMITE LA ESCUCHA MÁS CLARA, AISLA EL RUIDO EXTERIOR",S/N,S/N
1112,MOB026686,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,"CON SUPRESOR DE RUIDO AL 85% PERMITE LA ESCUCHA MÁS CLARA, AISLA EL RUIDO EXTERIOR",S/N,S/N
1117,MOB026687,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,"CON SUPRESOR DE RUIDO AL 85% PERMITE LA ESCUCHA MÁS CLARA, AISLA EL RUIDO EXTERIOR",S/N,S/N
1120,MOB026688,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,"CON SUPRESOR DE RUIDO AL 85% PERMITE LA ESCUCHA MAS CLARA, AISLA EL RUIDO EXTERIOR",S/N,S/N
1123,MOB026689,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,"CON SUPRESOR DE RUIDO AL 85% PERMITE LA ESCUCHA MAS CLARA, AISLA EL RUIDO EXTERIOR",S/N,S/N
1164,MOB026700,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,ENCUBIERTO DE ALTA SENSIBILIDAD PARA RESPUESTA A LA FRECUENCIA DE VOZ,S/N,S/N
1180,MOB026704,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,ENCUBIERTO DE ALTA SENSIBILIDAD PARA RESPUESTA A LA FRECUENCIA DE VOZ,S/N,S/N
1184,MOB026705,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,"CON SUPRESOR DE RUIDO AL 85% PERMITE LA ESCUCHA MÁS CLARA, AISLA EL RUIDO EXTERIOR",S/N,S/N
1188,MOB026706,EQUIPO DE SONIDO/ EQUIPO DE AUDIO/ HOME THEATER/ MINICOMPONENTE,"CON SUPRESOR DE RUIDO AL 85% PERMITE LA ESCUCHA MÁS CLARA, AISLA EL RUIDO EXTERIOR",S/N,S/N
1192,MOB026719,SILLA,"DE VISITA, FIJA, APILABLE, PLIANA",RP-1955,S/N
1196,MOB026725,ESCRITORIO,"CON PORTATECLADO Y PORTA CPU, DE 1.20X1.20",FUSSION,S/N
1199,MOB026727,SILLA,"DE VISITA, FIJA, APILABLE, PLIANA",RP-1955,S/N
1203,MOB026730,SILLA,"SECRETARIAL CON RODAJAS, RESPALDO MEDIO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",RE-1951,S/N
1208,MOB026731,SILLA,"SECRETARIAL CON RODAJAS, RESPALDO MEDIO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",RE-1951,S/N
1212,MOB026732,CONJUNTO/MODULO,"CON PORTATECLADO Y PORTA CPU, DE 1.20X1.40",FUSSION,S/N
1216,MOB026735,SILLA,"DE VISITA, FIJA, APILABLE, PLIANA",RP-4505,S/N
1219,MOB026736,CONJUNTO/MODULO,ESTACIÓN ERGONÓMICA DE 1.20X1.20 M,FUSSION,S/N
1223,MOB026737,SILLA,"DE VISITA, FIJA, APILABLE, PLIANA",RP-1955,S/N
1226,MOB026738,SILLA,"SECRETARIAL CON RODAJAS, RESPALDO MEDIO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",RE-1951,S/N
1230,MOB026747,CONJUNTO/MODULO,ESTACIÓN ERGONÓMICA DE 1.20X1.20 M,FUSSION,S/N
1234,MOB026749,SILLA,"SECRETARIAL CON RODAJAS, RESPALDO MEDIO, ELEVACIÓN AUTOMÁTICA Y DESCANSABRAZOS",RE-1951,S/N
1238,MOB026754,LIBRERO,DE 80 X 35 CM CON PUERTAS INFERIORES,FISSION,S/N
